name,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range
Hyatt Union Square New York,12/9/2017,12/10/2017,2,1,"134 4th Ave, New York City, NY 10003-4903",Booking.com,"1,718",4.5,474,281-689
Comfort Inn Midtown West,12/9/2017,12/10/2017,2,1,"548 W 48th St, New York City, NY 10036-1102",ComfortInn,561,4,339,140-433
Sheraton New York Times Square Hotel,12/9/2017,12/10/2017,2,1,"811 7th Avenue 53rd Street, New York City, NY 10019-6002",Cancelon,"8,315",4,789,203-688
West 57th Street by Hilton Club,12/9/2017,12/10/2017,2,1,"102 W 57th St, New York City, NY 10019-3302",CheapTickets,"1,394",4.5,789,295-871
Courtyard by Marriott New York Manhattan/Central Park,12/9/2017,12/10/2017,2,1,"1717 Broadway, New York City, NY 10019",Booking.com,"1,192",4,509,188-576
Hotel Hugo,12/9/2017,12/10/2017,2,1,"525 Greenwich St, New York City, NY 10013-1002",Priceline,"1,336",4,396,228-603
Hotel Central Fifth Avenue New York,12/9/2017,12/10/2017,2,1,"15 W 45th St, New York City, NY 10036-4904",Expedia.com,"1,203",4,459,138-425
East Bridge,12/9/2017,12/10/2017,2,1,"367 33rd St, New York City, NY 10003",,1,4,890,750-1200
Hilton Garden Inn New York - Times Square Central,12/9/2017,12/10/2017,2,1,"136 W 42nd St, New York City, NY 10036-7803",Cancelon,"1,546",4,455,167-612
Innside New York NoMad,12/9/2017,12/10/2017,2,1,"132 W 27th St, New York City, NY 10001-6202",Booking.com,"1,869",4.5,422,206-512
The Ludlow New York City,12/9/2017,12/10/2017,2,1,"180 Ludlow St, New York City, NY 10002-1514",SmithHotels.com,678,4.5,315,283-510
Gardens NYC–an Affinia hotel,12/9/2017,12/10/2017,2,1,"215 E 64th St, New York City, NY 10021",AMOMA,"1,901",4.5,468,302-725
The Paul Hotel,12/9/2017,12/10/2017,2,1,"32 W 29th St, New York City, NY 10001",Priceline,699,4,331,137-424
Radisson Martinique on Broadway,12/9/2017,12/10/2017,2,1,"49 West 32nd Street, New York City, NY 10001-3811",Booking.com,"4,693",4,378,181-458
Hotel Riverside Studios,12/9/2017,12/10/2017,2,1,"342 W 71st St, New York City, NY 10023-3550",,,2,98,70-120
The Hotel at Times Square,12/9/2017,12/10/2017,2,1,"59 West 46th Street, New York City, NY 10036-4120",Hotels.com,"3,594",4,330,137-380
Oakwood at Longacre House,12/9/2017,12/10/2017,2,1,"305 W 50th St, New York City, NY 10019-8400",,,3,267,209-279
The Hotel 91,12/9/2017,12/10/2017,2,1,"91 E Broadway, New York City, NY 10002-7014",,777,3.5,243,104-267
Executive Hotel LeSoleil,12/9/2017,12/10/2017,2,1,"38 W 36th St, New York City, NY 10018-8078",Booking.com,766,4.5,519,183-511
Soho House New York,12/9/2017,12/10/2017,2,1,"29 - 35 Ninth Avenue, New York City, NY 10014",,,4.5,980,275-1150
Courtyard New York Manhattan/Midtown East,12/9/2017,12/10/2017,2,1,"866 3rd Avenue, New York City, NY 10022-6221",Booking.com,"2,315",4.5,413,184-532
The Out NYC,12/9/2017,12/10/2017,2,1,"510 W 42nd St, New York City, NY 10036",,,4,876,193-936
Holiday Inn New York City - Times Square,12/9/2017,12/10/2017,2,1,"585 8th Ave, New York City, NY 10018-3003",AMOMA,683,4,360,156-490
Cassa Hotel 45th Street New York,12/9/2017,12/10/2017,2,1,"70 West 45th Street, New York City, NY 10036",AMOMA,"2,175",4.5,317,195-647
Holiday Inn NYC - Manhattan 6th Avenue - Chelsea,12/9/2017,12/10/2017,2,1,"125 W 26th St, New York City, NY 10001-6802",,"1,328",3.5,345,138-472
HGU New York,12/9/2017,12/10/2017,2,1,"34 E 32nd St, New York City, NY 10016-5503",Booking.com,209,4.5,422,195-487
Sanctuary Hotel New York,12/9/2017,12/10/2017,2,1,"132 West 47th Street, New York City, NY 10036-1502",Expedia.com,"4,085",4.5,545,234-555
Hotel Stanford,12/9/2017,12/10/2017,2,1,"43 West 32nd Street, New York City, NY 10001-3805",AMOMA,"1,648",4,323,124-429
"The Algonquin Hotel Times Square, Autograph Collection",12/9/2017,12/10/2017,2,1,"59 West 44th Street, Between Fifth & Sixth Ave, New York City, NY 10036",Autograph,"2,000",4,519,226-682
Royalton New York Hotel,12/9/2017,12/10/2017,2,1,"44 West 44th Street, New York City, NY 10036-6604",AMOMA,"2,268",4,532,222-588
The Maritime Hotel,12/9/2017,12/10/2017,2,1,"363 W 16th St, New York City, NY 10011-5902",Booking.com,664,4.5,340,259-490
Courtyard New York Manhattan/Upper East Side,12/9/2017,12/10/2017,2,1,"410 East 92nd Street, New York City, NY 10128-6881",Courtyard,884,4,339,159-503
SpringHill Suites New York Midtown Manhattan/Fifth Avenue,12/9/2017,12/10/2017,2,1,"25 W 37th St, New York City, NY 10018",Expedia.com,998,4.5,519,205-590
Andaz 5th Avenue,12/9/2017,12/10/2017,2,1,"485 5th Avenue, New York City, NY 10017-6149",Booking.com,"2,524",4.5,755,309-815
The GEM Hotel Chelsea,12/9/2017,12/10/2017,2,1,"300 W 22nd St, 22nd Street & 8th Avenue, New York City, NY 10011-2602",Agoda.com,"1,249",4,374,168-444
The Manhattan at Times Square Hotel,12/9/2017,12/10/2017,2,1,"790 7th Avenue at 51st Street, New York City, NY 10019",Hotels.com,"7,693",3.5,440,133-427
Hyatt Herald Square New York,12/9/2017,12/10/2017,2,1,"30 W 31st Street, New York City, NY 10001",AMOMA,981,4,452,204-559
Hotel Delmonico,12/9/2017,12/10/2017,2,1,"502 Park Ave, New York City, NY 10022-1108",,1,5,321,250-600
Oakwood at 777 6th Avenue,12/9/2017,12/10/2017,2,1,"777 Avenue of the Americas, New York City, NY 10001-6318",,,5,321,200-500
Doubletree by Hilton New York Times Square West,12/9/2017,12/10/2017,2,1,"350 W 40th St, New York City, NY 10018-1404",,671,3.5,324,144-522
